NB;NAME_MOD;COUNTRY;LATITUDE;LONGITUDE;;
3208;Küyüçak;TR: West;37,15357;27,55924;;
3230;Okluk Koyu, inside Degirmen Bükü;TR: West;36,92055;28,17160;;
3231;Ingilizi Limani, inside Degirmen Bükü;TR: West;36,92347;28,15691;;
3233;Büyük Cati;TR: West;36,79008;28,01256;;
3259;Aksaz, in Karaagaç Limani;TR: South;36,84044;28,39104;;
3524;Mersa Thelemet;Egypt: Red Sea;29,05451;32,63519;;
3529;Merset el-Qad Yahya;Egypt: Red Sea;27,92955;33,89363;;
3535;Marsa Abu Makhadiq;Egypt: Red Sea;27,04182;33,89331;;
3536;Makadi Bay;Egypt;26,99200;33,90500;;"19 ""Additional places"" deduced from interrupted coral reef"
3537;Sharm el-Arab, Al Nabila;Egypt;26,96630;33,92160;;
3538;Sharm Rashid;Egypt;26,94470;33,93370;;
3539;Sharm al-Abd;Egypt;26,92910;33,94260;;
3543;Coral Garden;Egypt;26,57180;34,03200;;
3545;Kalawy Imperial;Egypt;26,50810;34,06890;;
3548;Abu Sawatir Rocky Valley;Egypt;26,20550;34,22010;;
3553;Sharm el-Bahari, Mangrove Bay;Egypt;25,86800;34,41800;;
3554;Santido Resort;Egypt;25,83930;34,43750;;
3555;Marsa Wizr;Egypt;25,78600;34,48930;;
3557;Marsa Toronbi;Egypt;25,62070;34,58880;;
3558;Coraya Bay;Egypt;25,60210;34,60600;;
3560;Marsa Mubarak;Egypt;25,50900;34,65270;;
3561;Marsa Mooray;Egypt;25,39600;34,70300;;
3562;Marsa Abu Dabbab;Egypt;25,33900;34,74000;;
3573;Marsa Fokairi;Egypt;24,75550;35,06760;;
3574;Shams Alam Resort;Egypt;24,69000;35,08700;;
3576;Wadi Umm al Abas;Egypt;24,51950;35,14100;;
3578;Kala’an Gulf;Egypt;24,36000;35,29800;;
3583;Bodkin reef;Egypt: Red Sea;23,47898;35,49357;;
3584;Sharm el Madfa, Marsa Hasa;Egypt: Red Sea;22,95617;35,66851;;
3585;Marsa Shaab;Egypt: Red Sea;22,84259;35,77715;;
3586;Marsa el Qad;Egypt: Red Sea;22,60773;36,26030;;
3587;Marsa Abu Naam;Egypt: Red Sea;22,49757;36,30929;;
3590;Marsa Gwilaib, Marsa Ribda;Sudan;21,79016;36,86598;;
3591;Marsa Oseif, Khor Abu Asal;Sudan;21,75972;36,87182;;
3592;Marsa Hamsiat;Sudan;21,68679;36,88660;;
3593;Marsa Wasia;Sudan;21,64310;36,89592;;
3594;Marsa Gafatir;Sudan;21,59522;36,91970;;
3595;Marsa Halaka, near Abu Imama;Sudan;21,48942;36,95424;;
3597;Marsa Shinab, Khor Abu Mishmish;Sudan;21,34918;37,01072;;
3602;Marsa Fijja, Fijab, Bahia de Fuca;Sudan;20,03503;37,18598;;
3605;Marsa Ata;Sudan;19,28929;37,32819;;
3612;Harmil island;Erythrea;16,53871;40,15320;;
3619;Melita bay near Ras Nasiracurra;Erythrea;15,26434;39,81145;;
3625;Edd;Erythrea;13,93348;41,69475;;
3626;Mersa Dudo;Erythrea;13,86493;41,90706;;
3628;Ras Terma;Erythrea;13,21461;42,52675;;
3641;Tongue island, near Monfreid's Zoukour, Zuqar;Yemen;13,88127;42,71369;;
3647,1;As-Salif, near al-Qaryah;Yemen;15,32000;42,67500;;
3648;Uqban island, Monfreid's Okban;Yemen;15,51962;42,37880;;
3652;Dumsuq island, Monfreid's Dumsuk;Saudi Arab: Red S.;16,55317;42,06075;;
3656;Saso, Sarso island;Saudi Arab: Red S.;16,87126;41,58762;;
3659,2;Khor al-Birk;Saudi Arabia: Red Sea;18,21400;41,52900;;
3659,3;Khor Nahud;Saudi Arabia: Red Sea;18,26300;41,50400;;
3663;Marsa Qishran;Saudi Arab: Red S.;20,25463;40,01182;;
3665;Abu Shauk;Saudi Arab: Red S.;20,87642;39,35498;;
3667;Sharm Abhur, Bihar;Saudi Arab: Red S.;21,71735;39,09844;;
3668;Al Jazeerah, near Ras Hatiba;Saudi Arab: Red S.;22,08806;39,03093;;
3669;Al Qadimah;Saudi Arab: Red S.;22,35304;39,08447;;
3676;Sharm Al Khawr;Saudi Arab: Red S.;24,27391;37,67365;;
3677;Sharm Hasy;Saudi Arab: Red S.;24,62587;37,33731;;
3679,1;Harrat Qalib;Saudi Arab: Red S.;25,20120;37,22600;;
3682;Sharm Habban;Saudi Arab: Red S.;26,06742;36,57216;;
3685;Sharm Antar;Saudi Arab: Red S.;26,59236;36,25100;;
3686;Sharm Dumaygh;Saudi Arab: Red S.;26,64281;36,21932;;
3689;Sharm Jubbah, industrial port of Duba;Saudi Arab: Red S.;27,55970;35,54400;;
